"Time [ms]","Size [B]","Used [B]"
"2:49:14.516 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:15.516 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:16.516 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:17.517 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:18.517 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:19.517 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:20.518 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:21.518 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:22.518 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:23.519 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:24.519 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:25.519 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:26.519 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:27.520 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:28.520 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:29.520 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:30.520 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:31.521 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:32.521 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:33.521 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:34.522 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:35.522 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:36.522 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:37.523 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:38.523 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:39.523 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:40.523 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:41.524 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:42.524 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:43.524 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:44.524 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:45.525 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:46.525 PM, Sep 25, 2022","100,663,328","21,626,336"
"2:49:47.525 PM, Sep 25, 2022","100,663,328","34,213,392"
"2:49:48.526 PM, Sep 25, 2022","100,663,328","34,213,392"
"2:49:49.526 PM, Sep 25, 2022","100,663,328","34,213,392"
"2:49:50.526 PM, Sep 25, 2022","100,663,328","34,213,392"
"2:49:51.527 PM, Sep 25, 2022","100,663,328","34,213,392"
"2:49:52.527 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:49:53.527 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:49:54.527 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:49:55.528 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:49:56.528 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:49:57.528 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:49:58.528 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:49:59.529 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:00.529 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:01.529 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:02.529 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:03.530 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:04.530 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:05.530 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:06.531 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:07.531 PM, Sep 25, 2022","100,663,328","21,627,176"
"2:50:08.531 PM, Sep 25, 2022","100,663,328","34,214,216"
"2:50:09.531 PM, Sep 25, 2022","100,663,328","34,214,216"
"2:50:10.532 PM, Sep 25, 2022","100,663,328","34,214,216"
"2:50:11.532 PM, Sep 25, 2022","100,663,328","34,214,216"
"2:50:12.532 PM, Sep 25, 2022","100,663,328","34,214,216"
"2:50:13.532 PM, Sep 25, 2022","100,663,328","34,214,216"
"2:50:14.533 PM, Sep 25, 2022","100,663,328","34,214,216"
"2:50:15.533 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:16.533 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:17.534 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:18.534 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:19.534 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:20.535 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:21.535 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:22.535 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:23.535 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:24.536 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:25.536 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:26.536 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:27.536 PM, Sep 25, 2022","100,663,328","21,627,440"
"2:50:28.536 PM, Sep 25, 2022","100,663,328","34,214,480"
